time,amp,sigma,band
12.7717,2.1609,0.0056,b3
12.7767,2.1485,0.0077,b3
12.7819,2.1853,0.006,b3
12.8367,2.1041,0.0079,b3
12.8419,2.1239,0.0078,b3
12.8469,2.1619,0.0085,b3
12.8519,2.1751,0.0088,b3
12.8569,2.2539,0.0052,b3
12.8619,2.2056,0.0048,b3
12.8672,2.2222,0.0066,b3
12.8722,2.2799,0.0046,b3
12.8772,2.2585,0.0045,b3
12.8817,2.224,0.0075,b3
12.8861,2.1812,0.0078,b3
12.8922,2.2627,0.0064,b3
12.8975,2.2654,0.0083,b3
12.9025,2.2493,0.0066,b3
12.9075,2.2631,0.0074,b3
12.9125,2.2655,0.0055,b3
12.9158,2.221,0.0106,b3
12.9222,2.2085,0.0066,b3
12.9278,2.2505,0.0041,b3
12.9328,2.2305,0.0072,b3
12.9378,2.2204,0.008,b3
12.9428,2.2716,0.0062,b3
12.9481,2.2877,0.0056,b3
12.9525,2.3111,0.0046,b3
12.9581,2.2851,0.006,b3
12.9631,2.2718,0.005,b3
12.9681,2.2766,0.0097,b3
12.9733,2.3096,0.0065,b3
12.9778,2.2742,0.0104,b3
12.9833,2.3289,0.0093,b3
12.9883,2.3681,0.0037,b3
12.9933,2.3763,0.0056,b3
12.9986,2.3232,0.0068,b3
13.1533,2.1262,0.0056,b3
13.1586,2.0706,0.0109,b3
13.1636,2.1265,0.0047,b3
13.1686,2.1306,0.0042,b3
13.1736,2.1344,0.0045,b3
13.1786,2.1363,0.0047,b3
13.1839,2.1315,0.0049,b3
13.1889,2.0971,0.0069,b3
13.1939,2.1132,0.0043,b3
13.1989,2.1132,0.0052,b3
13.2039,2.0587,0.0107,b3
13.2089,2.0667,0.0095,b3
13.2142,2.1035,0.0064,b3
13.2192,2.0806,0.0049,b3
13.2242,2.0993,0.0103,b3
13.2292,2.1381,0.0027,b3
13.2336,2.1256,0.005,b3
13.2394,2.1623,0.0046,b3
13.2444,2.1322,0.0046,b3
13.2494,2.1618,0.0049,b3
13.2544,2.1218,0.0063,b3
13.2594,2.1448,0.005,b3
13.2642,2.1102,0.0071,b3
13.2692,2.0789,0.0058,b3
13.2747,2.0823,0.0042,b3
13.2847,2.1034,0.0063,b3
13.29,2.0482,0.0067,b3
13.2944,2.1005,0.0121,b3
13.3,2.1044,0.0109,b3
13.4367,2.0913,0.0094,b3
13.4419,2.0282,0.0107,b3
13.4464,2.1941,0.0087,b3
13.4514,2.1641,0.007,b3
13.4569,2.1422,0.0052,b3
13.4619,2.2345,0.0049,b3
13.4672,2.2276,0.0047,b3
13.4722,2.2248,0.0049,b3
13.4772,2.26,0.0055,b3
13.4806,2.2677,0.0061,b3
13.4867,2.2735,0.0056,b3
13.4917,2.2428,0.0074,b3
13.4975,2.2244,0.0036,b3
13.5014,2.0941,0.021,b3
13.5075,2.0871,0.0209,b3
13.5125,2.1962,0.0108,b3
13.5175,2.1704,0.0101,b3
13.5228,2.2801,0.0046,b3
13.5328,2.2016,0.0157,b3
13.5378,2.3046,0.0061,b3
13.5428,2.2689,0.0086,b3
13.5481,2.2705,0.0106,b3
13.5531,2.3111,0.0062,b3
13.5569,2.1759,0.0085,b3
